familyid,memberid,status,timestamp,original_member
35656338,163740114,Removed,2025-06-24T04:02:12.508000,163740151
35656338,163740151,Removed,2025-06-24T04:02:20.808083,163740193
35656338,163740193,Removed,2025-06-24T04:02:27.473142,163740220
35656338,163740220,Removed,2025-06-24T04:02:33.356148,163740254
35656338,163740254,Removed,2025-06-24T04:02:39.084127,163740367
35656338,163740367,Removed,2025-06-24T04:02:44.379563,163740416
35656338,163740416,Removed,2025-06-24T04:02:50.381669,163740588
35656338,163740588,Removed,2025-06-24T04:02:55.637462,163740607
35656338,163740607,Removed,2025-06-24T04:03:00.591987,163740661
35656338,163740661,Removed,2025-06-24T04:03:06.450690,199928181
35656338,199928181,Removed,2025-06-24T04:03:13.142483,199928194
35656338,199928194,Removed,2025-06-24T04:03:18.440838,199928181
35659339,163745546,Removed,2025-06-24T04:03:25.988462,163745572
35659339,163745572,Removed,2025-06-24T04:03:33.004048,163745601
35661757,163755645,Removed,2025-06-24T04:03:56.322821,163755663
35661757,163755663,Removed,2025-06-24T04:04:01.465829,163755645
35682243,163809820,Removed,2025-06-24T04:04:08.543484,305237394
35682243,305237394,Removed,2025-06-24T04:04:15.182469,163809820
35686043,163816424,Removed,2025-06-24T04:04:21.388385,163816512
35686043,163816512,Removed,2025-06-24T04:04:28.056288,163816614
35686043,163816614,Removed,2025-06-24T04:04:33.967246,163816819
35686043,163816819,Removed,2025-06-24T04:04:39.822699,163816907
35686043,163816907,Removed,2025-06-24T04:04:45.144359,163816819
35687548,163822366,Removed,2025-06-24T04:04:51.267504,163822392
35687548,163822392,Removed,2025-06-24T04:04:56.626075,163822414
35687548,163822414,Removed,2025-06-24T04:05:02.538050,163822436
35687548,163822436,Removed,2025-06-24T04:05:08.231588,302562410
35687548,302562410,Removed,2025-06-24T04:05:15.971317,163822436
35688573,163825286,Removed,2025-06-24T04:05:22.336682,163825359
35688573,163825359,Removed,2025-06-24T04:05:27.938818,163825400
35688573,163825400,Removed,2025-06-24T04:05:32.953838,163825440
35688573,163825440,Removed,2025-06-24T04:05:38.395335,163825400
35688980,163826661,Removed,2025-06-24T04:05:44.700197,163826673
35688980,163826673,Removed,2025-06-24T04:05:50.481857,163826661
35698696,163846334,Removed,2025-06-24T04:05:56.046011,163846375
35698696,163846375,Removed,2025-06-24T04:06:01.922417,163846440
35698696,163846440,Removed,2025-06-24T04:06:09.336375,163846491
35698696,163846491,Removed,2025-06-24T04:06:16.537470,163846724
35698696,163846724,Removed,2025-06-24T04:06:23.163340,163846491
35699978,163849686,Removed,2025-06-24T04:06:30.015632,163849718
35699978,163849718,Removed,2025-06-24T04:06:37.682688,300718524
35699978,300718524,Removed,2025-06-24T04:06:43.786738,163849718
35705233,164020395,Removed,2025-06-24T04:06:49.952779,164020563
35705233,164020563,Removed,2025-06-24T04:06:55.468595,321325439
35705233,321325439,Removed,2025-06-24T04:07:01.248219,164020563
