familyid,memberid,status
33541216,156084161,Removed
33541216,156084684,Removed
33541216,156087953,Removed
33541506,179461546,Removed
33541506,156307798,Removed
33541506,156308151,Removed
33541506,156308630,Removed
33541506,156311455,Removed
33541506,156312030,Removed
33541506,156313722,Removed
33542319,156827948,Removed
33542319,156828353,Removed
33542319,156829227,Removed
33542319,156829875,Removed
33542319,156830059,Removed
33542643,156823900,Removed
33542643,156824879,Removed
33542916,157068995,Removed
33542916,157069185,Removed
33542916,157069746,Removed
33542916,157070088,Removed
33543137,156838416,Removed
33543137,305084701,Removed
33543967,157381411,Removed
33543967,157381533,Removed
33546380,157448247,Removed
33546380,157448701,Removed
33546380,157448999,Removed
33546488,157446669,Removed
33546488,157447834,Removed
33546488,199987776,Removed
33546488,198711433,Removed
33546571,157378883,Removed
33546571,157379142,Removed
33546571,157379289,Removed
33546571,157379487,Removed
33546571,309993910,Removed
33547024,155872624,Removed
33547024,155872873,Removed
33547024,155873951,Removed
33547316,157407333,Removed
33547316,157407541,Removed
33547316,157407941,Removed
33547583,158313784,Removed
33547583,158315222,Removed
33547583,158315408,Removed
33547583,158315557,Removed
33547583,182047731,Removed
33547596,157461945,Removed
33547596,157462883,Removed
33547596,157463330,Removed
33547596,157464276,Removed
33547596,157465281,Removed
33547596,304614527,Removed
33547596,304614528,Removed
33547596,313029386,Removed
33547877,157509505,Removed
33547877,157509676,Removed
33547877,157510820,Removed
33547877,157510045,Removed
33547877,157510686,Removed
33547934,157431553,Removed
33547934,157432547,Removed
33547934,157432764,Removed
33548295,157396839,Removed
33548295,157397003,Removed
33548295,157397254,Removed
33548295,157397462,Removed
33548295,308622067,Removed
33548295,308652907,Removed
33548431,307786306,Removed
33548431,307786308,Removed
33548431,305343735,Removed
33548531,157498734,Removed
33548531,157499064,Removed
33548531,157499668,Removed
33548531,157499853,Removed
33548531,157500484,Removed
33548531,157500847,Removed
33548567,157492311,Removed
33548567,157492487,Removed
33548567,157493369,Removed
33548567,157493892,Removed
33548567,307966251,Removed
33548567,307966253,Removed
33548571,158299921,Removed
33548571,158300170,Removed
33548571,300494319,Removed
33549036,158315872,Removed
33549036,158316702,Removed
33549036,158316888,Removed
33549095,158353495,Removed
33549095,158354014,Removed
33549095,158354203,Removed
33549095,158354438,Removed
33549095,158354797,Removed
33549095,158355401,Removed
33549095,158355579,Removed
33549095,158355718,Removed
33549095,158356002,Removed
33549095,302704090,Removed
