familyid,memberid,status,timestamp,original_member
34181194,158294571,Removed,2025-06-23T06:43:28.829399,158294710
34181194,158294710,Removed,2025-06-23T06:43:42.990329,158294904
34181194,158294904,Removed,2025-06-23T06:43:57.027430,158295082
34181194,158295082,Removed,2025-06-23T06:44:11.792058,158294904
34181465,158295738,Removed,2025-06-23T06:44:25.924294,158295953
34181465,158295953,Removed,2025-06-23T06:44:40.631415,158296128
34181465,158296128,Removed,2025-06-23T06:44:54.139048,158296318
34181465,158296318,Removed,2025-06-23T06:45:09.490491,158296472
34181465,158296472,Removed,2025-06-23T06:45:22.922794,158296318
34194026,158361276,Removed,2025-06-23T06:45:37.763642,158361537
34194026,158361537,Removed,2025-06-23T06:45:55.382484,158361276
34199752,158370756,Removed,2025-06-23T06:46:12.277372,158371713
34199752,158371713,Removed,2025-06-23T06:46:28.003608,158370756
34219449,159011913,Removed,2025-06-23T06:46:41.653720,159011968
34219449,159011968,Removed,2025-06-23T06:46:54.491592,159012012
34219449,159012012,Removed,2025-06-23T06:47:08.034878,159012064
34219449,159012064,Removed,2025-06-23T06:47:23.706681,159012198
34219449,159012198,Removed,2025-06-23T06:47:38.828646,159012277
34219449,159012277,Removed,2025-06-23T06:47:52.341409,310105794
34219449,310105794,Removed,2025-06-23T06:48:06.381656,159012277
34228109,158758313,Removed,2025-06-23T06:48:22.209938,158758492
34228109,158758492,Removed,2025-06-23T06:48:35.678531,158759948
34228109,158759948,Removed,2025-06-23T06:48:49.414246,303459793
34228109,303459793,Removed,2025-06-23T06:49:03.039604,321333691
34228109,321333691,Removed,2025-06-23T06:49:15.680974,303459793
